UniqueID,Date,format_Date,Sys start,Tree,comp_start_time,comp_end_time,format_comp_start_time,format_comp_end_time,Real start,Real end,Soil temp,Vwc1 (m3/m3),Vwc2,Vwc3,Vwc4,Vwc5,Vwc_avg,Rep_vol_L
45434_unknown1,5/22/2024,5/22/2024,4:01 PM,unknown1,16:01:48,16:06:15,16:01:48,16:06:15,15:10:32,15:14:59,,,,,,,0,10
45434_427,5/22/2024,5/22/2024,,427,16:07:55,16:10:47,16:07:55,16:10:47,15:16:39,15:19:31,,,,,,,0,20
45434_unknown2,5/22/2024,5/22/2024,,unknown2,16:12:26,16:16:08,16:12:26,16:16:08,15:21:10,15:24:52,,,,,,,0,30
45434_unknown3,5/22/2024,5/22/2024,,unknown3,16:15:34,16:18:37,16:15:34,16:18:37,15:24:18,15:27:21,,,,,,,0,2
45436_411,5/24/2024,5/24/2024,10:57 AM,411,10:57:45,11:00:47,10:57:45,11:00:47,10:06:43,10:09:45,22.2,0.222,0.218,0.204,,,0.215,100
45436_412,5/24/2024,5/24/2024,,412,11:05:33,11:08:34,11:05:33,11:08:34,10:14:31,10:17:32,23.5,0.365,0.532,0.282,,,0.393,20
45436_413,5/24/2024,5/24/2024,,413,11:09:15,11:12:32,11:09:15,11:12:32,10:18:13,10:21:30,25,0.247,0.635,0.162,,,0.348,20
45436_4,5/24/2024,5/24/2024,,4,11:13:56,11:16:57,11:13:56,11:16:57,10:22:54,10:25:55,25.4,0.459,0.392,0.46,,,0.437,20
45436_432,5/24/2024,5/24/2024,,432,11:18:51,11:21:52,11:18:51,11:21:52,10:27:49,10:30:50,25.4,0.511,0.302,0.459,,,0.424,20
45436_433,5/24/2024,5/24/2024,,433,11:23:32,11:26:53,11:23:32,11:26:53,10:32:30,10:35:51,25.1,0.458,0.582,0.175,,,0.405,20
45436_414,5/24/2024,5/24/2024,,414,11:29:19,11:33:03,11:29:19,11:33:03,10:38:17,10:42:01,25,0.263,0.211,0.493,,,0.322,20
45436_435,5/24/2024,5/24/2024,,435,14:36:32,14:39:33,14:36:32,14:39:33,13:45:30,13:48:31,26.9,0.403,0.568,0.259,,,0.41,20
45436_436,5/24/2024,5/24/2024,,436,14:40:09,14:43:10,14:40:09,14:43:10,13:49:07,13:52:08,26.9,0.162,0.216,0.265,,,0.214,20
45436_438,5/24/2024,5/24/2024,,438,14:44:53,14:48:16,14:44:53,14:48:16,13:53:51,13:57:14,26.9,0.215,0.254,0.115,,,0.195,20
45436_417,5/24/2024,5/24/2024,,417,14:50:03,14:53:05,14:50:03,14:53:05,13:59:01,14:02:03,27.2,0.311,0.213,0.218,,,0.247,20
45436_418,5/24/2024,5/24/2024,,418,14:54:23,14:57:23,14:54:23,14:57:23,14:03:21,14:06:21,28.2,0.206,0.21,0.389,,,0.268,20
45436_434,5/24/2024,5/24/2024,,434,14:58:46,15:02:23,14:58:46,15:02:23,14:07:44,14:11:21,28.6,0.535,0.488,0.395,,,0.473,20
45436_419,5/24/2024,5/24/2024,,419,15:03:29,15:06:46,15:03:29,15:06:46,14:12:27,14:15:44,28.1,0.451,0.063,0.369,,,0.294,20
45436_420,5/24/2024,5/24/2024,,420,15:07:51,15:10:51,15:07:51,15:10:51,14:16:49,14:19:49,28.2,0.193,0.207,0.229,,,0.21,20
45436_421,5/24/2024,5/24/2024,,421,15:11:24,15:14:51,15:11:24,15:14:51,14:20:22,14:23:49,28.3,0.249,0.472,0.188,,,0.303,20
45436_441,5/24/2024,5/24/2024,,441,15:16:35,15:19:48,15:16:35,15:19:48,14:25:33,14:28:46,29.3,0.443,0.226,0.563,,,0.411,20
45436_439,5/24/2024,5/24/2024,,439,15:21:16,15:24:24,15:21:16,15:24:24,14:30:14,14:33:22,29.3,0.231,0.209,0.198,,,0.213,20
45436_422,5/24/2024,5/24/2024,,422,15:25:44,15:28:44,15:25:44,15:28:44,14:34:42,14:37:42,29.3,0.324,0.429,0.524,,,0.426,20
